,store_id,store_name,tel,addrRoad,category,collect_day,disctrict
27,s18839949,갤러리헤어,,서울특별시 강남구 언주로124길 40,"생활,편의 > 미용실",2020-04-19,강남구
28,s20634400,윤헤어클럽,,서울특별시 강남구 개포로22길 104,"생활,편의 > 미용실",2020-04-19,강남구
29,s18826661,헤어코디,02-564-6312,서울특별시 강남구 삼성로75길 26,"생활,편의 > 미용실",2020-04-19,강남구
30,s36438860,드엔,02-3443-9926,서울특별시 강남구 선릉로145길 16 동성빌딩,"생활,편의 > 미용실",2020-04-19,강남구
31,s13327235,수인스타일 논현점,02-544-5547,서울특별시 강남구 봉은사로33길 5 동화빌딩,"생활,편의 > 미용실",2020-04-19,강남구
32,s20897847,청담헤어스튜디오,02-517-0037,서울특별시 강남구 삼성로145길 3,"생활,편의 > 미용실",2020-04-19,강남구
33,s1006574115,차지윤미용실,,서울특별시 강남구 삼성로 212 은마아파트,"생활,편의 > 미용실",2020-04-19,강남구
34,s522321180,써티헤어,02-6368-6548,서울특별시 강남구 도산대로30길 29-7,"생활,편의 > 미용실",2020-04-19,강남구
35,s20889577,킴스헤어,,서울특별시 강남구 논현로67길 23,"생활,편의 > 미용실",2020-04-19,강남구
36,s19994363,칼리아헤어,02-558-7063,서울특별시 강남구 역삼로 233 신성빌딩,"생활,편의 > 미용",2020-04-19,강남구
37,s13151245,나인테라피미용실,02-553-9692,서울특별시 강남구 역삼로78길 23,"생활,편의 > 미용실",2020-04-19,강남구
38,s20633072,아이비헤어살롱,010-3708-1243,서울특별시 강남구 남부순환로379길 14 2층,"생활,편의 > 미용실",2020-04-19,강남구
39,s710536466,미스터헤어,,서울특별시 강남구 도곡로93길 12,"생활,편의 > 미용실",2020-04-19,강남구
40,s21268890,신오키새날,02-542-1475,서울특별시 강남구 압구정로2길 58 2층,"생활,편의 > 미용실",2020-04-19,강남구
41,s13154039,헤어갤러리,02-563-8387,서울특별시 강남구 역삼로 520 MS빌딩,"생활,편의 > 미용실",2020-04-19,강남구
42,s1076766708,김지후헤어갤러리,02-508-3722,서울특별시 강남구 삼성로72길 47,"생활,편의 > 미용실",2020-04-19,강남구
43,s33938157,준오헤어 가로수길점,02-3446-0605,서울특별시 강남구 도산대로 127,"생활,편의 > 미용실",2020-04-19,강남구
44,s1509308410,준오헤어 신사역세로수길점,02-517-0605,서울특별시 강남구 도산대로11길 18 운산빌딩 2층 준오헤어,"생활,편의 > 미용실",2020-04-19,강남구
45,s1608609322,스타스살롱,,서울특별시 강남구 논현로114길 11 해광빌딩,"생활,편의 > 미용실",2020-04-19,강남구
46,s21783500,헤어라떼,02-511-3515,서울특별시 강남구 봉은사로33길 9,"생활,편의 > 미용실",2020-04-19,강남구
47,s20634374,DD헤어,,서울특별시 강남구 학동로20길 59,"생활,편의 > 미용실",2020-04-19,강남구
48,s1722140006,루이스,02-556-2181,서울특별시 강남구 학동로53길 3-10,"생활,편의 > 남성전문미용실",2020-04-19,강남구
49,s408671002,민 왁싱,010-8833-1099,서울특별시 강남구 학동로55길 12-7,"생활,편의 > 미용",2020-04-19,강남구
50,s1326456035,제이어반터치,010-8399-8307,서울특별시 강남구 학동로55길 12-1 1층,"생활,편의 > 미용",2020-04-19,강남구
51,s934732941,더맨헤어,02-548-8473,서울특별시 강남구 선릉로130길 5,"생활,편의 > 남성전문미용실",2020-04-19,강남구
52,s1317257270,초이브로우,010-9621-1630,서울특별시 강남구 선릉로 722 유진빌딩2층 초이브로우,"생활,편의 > 미용",2020-04-19,강남구
53,s1938614944,엘린뷰티랩,02-511-9531,서울특별시 강남구 학동로 338,"생활,편의 > 미용",2020-04-19,강남구
54,s20827780,로얄헤어샵,,서울특별시 강남구 봉은사로74길 12,"생활,편의 > 미용실",2020-04-19,강남구
55,s19969811,TAEKKIM,02-544-6227,서울특별시 강남구 언주로165길 12,"생활,편의 > 미용실",2020-04-19,강남구
56,s11726505,준오헤어 대치점,02-563-1605,서울특별시 강남구 도곡로 448,"생활,편의 > 미용실",2020-04-19,강남구
57,s34120412,더 제이 헤어메이크업,02-540-8085,서울특별시 강남구 선릉로148길 52-12 청담동 J타워 2층,"생활,편의 > 미용실",2020-04-19,강남구
58,s249878237,하루앤노아,070-4133-3006,서울특별시 강남구 학동로 332 계풍빌딩,"생활,편의 > 미용실",2020-04-19,강남구
59,s1880086987,가희헤어,02-545-9527,서울특별시 강남구 강남대로124길 39 가희헤어,"생활,편의 > 미용실",2020-04-19,강남구
60,s19718101,쟈끄데상쥬 강남역점,02-532-0484,서울특별시 강남구 강남대로 452 대연빌딩,"생활,편의 > 미용실",2020-04-19,강남구
61,s35572464,쟈당헤어,02-6181-3863,서울특별시 강남구 광평로 281,"생활,편의 > 미용실",2020-04-19,강남구
62,s19828392,에이치 헤어살롱,02-511-2820,서울특별시 강남구 도산대로13길 14-4 3층,"생활,편의 > 미용실",2020-04-19,강남구
63,s37818441,에이치스타일 가로수길,02-3443-7277,서울특별시 강남구 강남대로152길 62,미용 > 미용실,2020-04-19,강남구
64,s12989035,스타일플로어 임진옥,02-518-9270,서울특별시 강남구 도산대로81길 25,"생활,편의 > 미용실",2020-04-19,강남구
65,s1135633104,헤어지지마,02-2226-6879,서울특별시 강남구 개포로109길 34,"생활,편의 > 미용실",2020-04-19,강남구
66,s20268411,샵스테이,02-557-7891,서울특별시 강남구 삼성로 317 우석빌딩 1층,"생활,편의 > 미용실",2020-04-19,강남구
67,s37165580,반에스,02-556-9787,서울특별시 강남구 도산대로6길 9,"생활,편의 > 미용실",2020-04-19,강남구
68,s20406565,우현증메르시,02-546-7740,서울특별시 강남구 도산대로26길 50,"생활,편의 > 미용실",2020-04-19,강남구
69,s38257322,바바헤어 대치점,02-563-8071,서울특별시 강남구 선릉로64길 19,미용 > 미용실,2020-04-19,강남구
70,s13355558,슈어 바이 정민,02-545-0700,서울특별시 강남구 선릉로155길 12 2층,"생활,편의 > 미용실",2020-04-19,강남구
71,s20377102,발렌타인,02-568-3012,서울특별시 강남구 삼성로103길 22,"생활,편의 > 미용실",2020-04-19,강남구
72,s21007306,아이벨르 압구정본점,02-512-5082,서울특별시 강남구 압구정로29길 21 현대백화점 컬처파크 2층,미용 > 미용실,2020-04-19,강남구
73,k1562814088,쎄미헤어,02-557-5686,서울특별시 강남구 영동대로 230,"생활,편의 > 미용실",2020-04-19,강남구
74,s18397835,예삐오 ABO BCVC BYHONG,02-561-4447,서울특별시 강남구 언주로97길 34,"생활,편의 > 미용실",2020-04-19,강남구
75,s1005875309,미스터남성커트전문점,02-459-3050,서울특별시 강남구 밤고개로1길 10,"생활,편의 > 남성전문미용실",2020-04-19,강남구
76,s1338342994,리파이너리,02-572-0711,서울특별시 강남구 언주로 123 재능교육빌딩 B1 리파이너리,"생활,편의 > 미용실",2020-04-19,강남구
77,s1232285524,장한나헤어,,서울특별시 강남구 역삼로78길 26 공간쉐르빌,"생활,편의 > 미용실",2020-04-19,강남구
78,s21061216,예올,02-552-9797,서울특별시 강남구 역삼로 310 한솔필리아,"생활,편의 > 미용실",2020-04-19,강남구
79,s33831186,원헤어,02-565-7870,서울특별시 강남구 역삼로69길 10 1F 원헤어,"생활,편의 > 미용실",2020-04-19,강남구
80,s20643232,원미용실,,서울특별시 강남구 역삼로 450,"생활,편의 > 미용실",2020-04-19,강남구
81,s1294273370,민미경헤어,,서울특별시 강남구 역삼로 315 개나리아파트,"생활,편의 > 미용실",2020-04-19,강남구
82,s37269046,모트헤어,02-548-8780,서울특별시 강남구 도산대로58길 14,"생활,편의 > 미용실",2020-04-19,강남구
83,s34958379,아이온헤어,02-512-7939,서울특별시 강남구 도산대로55길 40,"생활,편의 > 미용실",2020-04-19,강남구
84,s18467381,헤어앤바이서은경,02-538-3343,서울특별시 강남구 역삼로73길 13,"생활,편의 > 미용실",2020-04-19,강남구
85,s36166714,에스뿌아헤어,02-574-0228,서울특별시 강남구 논현로8길 50-5,"생활,편의 > 미용실",2020-04-19,강남구
86,s1820055997,에끌라,02-518-2415,서울특별시 강남구 학동로101길 26 1층 130 에끌라,"생활,편의 > 미용실",2020-04-19,강남구
87,s1659743131,헤어플레이스,02-3444-8340,서울특별시 강남구 학동로38길 45,"생활,편의 > 미용실",2020-04-19,강남구
88,s13372477,박준뷰티랩 대치점,02-3453-6260,서울특별시 강남구 도곡로 422 세림BD 2층,"생활,편의 > 미용실",2020-04-19,강남구
89,s604350412,헤어마지코,02-517-6976,서울특별시 강남구 압구정로50길 28 로데오현대아파트,"생활,편의 > 미용실",2020-04-19,강남구
90,s21613054,더샵헤어,02-555-2297,서울특별시 강남구 삼성로64길 29,"생활,편의 > 미용실",2020-04-19,강남구
91,s33039823,스타일비 미용실,02-546-1182,서울특별시 강남구 선릉로126길 16,"생활,편의 > 미용실",2020-04-19,강남구
92,s31978136,리챠드프로헤어 신논현역점,02-6246-1212,서울특별시 강남구 강남대로 502 서희빌딩 3층,"생활,편의 > 미용실",2020-04-19,강남구
93,s31021384,W헤어 대치점,02-555-0301,서울특별시 강남구 역삼로74길 7 송암빌딩 1층 whair,"생활,편의 > 미용실",2020-04-19,강남구
94,s82379273,라트리헤어 스파힐 강남베르점,02-565-9222,서울특별시 강남구 테헤란로87길 25 전방빌딩,미용 > 미용실,2020-04-19,강남구
95,s33912842,준오헤어 코엑스도심공항점,02-2016-6050,서울특별시 강남구 테헤란로87길 36 도심공항타워 B2층 B22호,"생활,편의 > 미용실",2020-04-19,강남구
96,s1426279116,수인스타일 삼성점,02-515-4200,서울특별시 강남구 삼성로 605,"생활,편의 > 미용실",2020-04-19,강남구
97,s38462333,비클래시헤어,02-561-0806,서울특별시 강남구 봉은사로 478 창우빌딩 2층 BE CLASSY HAIR,"생활,편의 > 미용실",2020-04-19,강남구
98,s35976657,모즈헤어 삼성점,02-552-6602,서울특별시 강남구 테헤란로83길 32,미용 > 미용실,2020-04-19,강남구
99,s36342659,수성헤어,02-548-7787,서울특별시 강남구 봉은사로82길 28,"생활,편의 > 미용실",2020-04-19,강남구
100,s21407110,MJ헤어,02-567-9082,서울특별시 강남구 삼성로 575 삼원빌딩,"생활,편의 > 미용실",2020-04-19,강남구
101,s32358933,M3D쏘타헤어 강남점,02-6000-6568,서울특별시 강남구 테헤란로87길 37 영진빌딩 2층,"생활,편의 > 미용실",2020-04-19,강남구
102,s18449668,헤어바이러스,02-566-2675,서울특별시 강남구 봉은사로 474 쌍용 플래티넘,"생활,편의 > 미용실",2020-04-19,강남구
103,s1748738166,폴스바버샵,02-565-4990,서울특별시 강남구 봉은사로74길 5 폴스바버샵,"생활,편의 > 남성전문미용실",2020-04-19,강남구
104,s21086238,블링블링뷰티샵,010-9174-2688,서울특별시 강남구 삼성로103길 17,"생활,편의 > 미용실",2020-04-19,강남구
105,s11858693,바비헤어,02-554-6667,서울특별시 강남구 봉은사로74길 11-3,"생활,편의 > 미용실",2020-04-19,강남구
106,s18817210,손끝차이,02-539-1228,서울특별시 강남구 봉은사로72길 39,"생활,편의 > 미용실",2020-04-19,강남구
107,s20596750,바버스,02-557-8784,서울특별시 강남구 봉은사로 524,"생활,편의 > 미용실",2020-04-19,강남구
108,s20942756,파라다이스,,서울특별시 강남구 테헤란로83길 31,"생활,편의 > 미용실",2020-04-19,강남구
109,s1498788228,슈풍크헤어,,서울특별시 강남구 삼성로 547,"생활,편의 > 미용실",2020-04-19,강남구
110,s37849674,헤어존,,서울특별시 강남구 봉은사로 524 코엑스인터콘티넨탈서울,"생활,편의 > 미용실",2020-04-19,강남구
111,s1746730763,궁전헤어뱅크,02-558-1133,서울특별시 강남구 삼성로103길 11,"생활,편의 > 미용실",2020-04-19,강남구
112,s20912380,오드리헵번,,서울특별시 강남구 봉은사로74길 19,"생활,편의 > 미용실",2020-04-19,강남구
113,s1452689674,HAARE,02-6489-2701,서울특별시 강남구 봉은사로72길 40,"생활,편의 > 미용실",2020-04-19,강남구
114,k18449649,토모토모,02-538-3749,서울특별시 강남구 삼성로103길 17,"생활,편의 > 미용실",2020-04-19,강남구
115,s33158415,아이노헤어,02-556-8817,서울특별시 강남구 삼성로107길 29,"생활,편의 > 미용실",2020-04-19,강남구
116,s32262299,신혜리헤어스타,02-508-1639,서울특별시 강남구 테헤란로79길 51 102층 신혜리헤어스타,"생활,편의 > 미용",2020-04-19,강남구
117,s1739188050,오늘염색헤어,02-553-0706,서울특별시 강남구 삼성로103길 12 1층,미용 > 머리염색,2020-04-19,강남구
118,s33758240,본샵,070-8952-8954,서울특별시 강남구 도산대로55길 37 2층,"생활,편의 > 미용실",2020-04-19,강남구
119,s13566300,포레스타 청담본점,02-3444-2252,서울특별시 강남구 선릉로158길 13-16,"생활,편의 > 미용실",2020-04-19,강남구
120,s258013837,라이온헤어,02-545-6479,서울특별시 강남구 도산대로55길 46,"생활,편의 > 미용실",2020-04-19,강남구
121,s21547290,라뷰티코아 청담 세이엇데이점,02-3444-4001,서울특별시 강남구 선릉로158길 12,미용 > 미용실,2020-04-19,강남구
122,s37057319,고바이,02-540-1993,서울특별시 강남구 선릉로157길 8,"생활,편의 > 미용실",2020-04-19,강남구
123,s11831176,이경민포레 청담본점,02-549-7772,서울특별시 강남구 선릉로158길 9,미용 > 미용실,2020-04-19,강남구
124,s1593227414,우선,02-540-1107,서울특별시 강남구 도산대로55길 39,"생활,편의 > 미용실",2020-04-19,강남구
125,s13166737,보이드바이박철,02-3443-0999,서울특별시 강남구 도산대로67길 19 청담힐탑,"생활,편의 > 미용실",2020-04-19,강남구
126,s13220674,재클린,02-3448-0505,서울특별시 강남구 선릉로162길 5 2층,"생활,편의 > 미용실",2020-04-19,강남구
127,s1353712147,소감,02-6012-8562,서울특별시 강남구 압구정로 334 2층,"생활,편의 > 미용실",2020-04-19,강남구
128,s36652386,로앤로우,02-511-8319,서울특별시 강남구 선릉로158길 13-8,"생활,편의 > 미용실",2020-04-19,강남구
129,s31515029,인트라다by한지오 청담점,02-540-2988,서울특별시 강남구 선릉로155길 5 승승장구 빌딩 3층 인트라다 by 한지오,"생활,편의 > 미용실",2020-04-19,강남구
130,s13355189,에스휴,02-3448-3007,서울특별시 강남구 선릉로 830 공신진흥빌딩 2층 에스휴,"생활,편의 > 미용실",2020-04-19,강남구
131,s31694689,엘페라,02-512-4488,서울특별시 강남구 도산대로61길 25,"생활,편의 > 미용실",2020-04-19,강남구
132,s37202351,김활란뮤제네프 청담부티끄점,02-518-0332,서울특별시 강남구 압구정로72길 14-4,"생활,편의 > 미용실",2020-04-19,강남구
133,s75056372,트루핏앤힐 바버샵 청담본점,02-511-1805,서울특별시 강남구 선릉로158길 5 1&2층,"생활,편의 > 남성전문미용실",2020-04-19,강남구
134,s36859785,헤움,02-511-3882,서울특별시 강남구 선릉로 820 남한강빌딩,"생활,편의 > 미용실",2020-04-19,강남구
135,s11724354,박승철헤어스투디오 압구정로데오점,02-518-7048,서울특별시 강남구 선릉로157길 14 한주빌딩 2층,"생활,편의 > 미용실",2020-04-19,강남구
136,s37903600,애이수뷰티,02-514-9271,서울특별시 강남구 도산대로53길 29,"생활,편의 > 미용실",2020-04-19,강남구
137,s13053252,킹스턴 맨즈헤어,02-511-0233,서울특별시 강남구 선릉로157길 6,"생활,편의 > 남성전문미용실",2020-04-19,강남구
138,s1264362402,블로우,02-517-0434,서울특별시 강남구 도산대로61길 14,"생활,편의 > 미용실",2020-04-19,강남구
139,s13399240,토니앤가이 청담본점,02-541-9985,서울특별시 강남구 도산대로57길 20 오페라하우스,미용 > 미용실,2020-04-19,강남구
140,s11568230,뮤사이 살롱드점,1544-7442,서울특별시 강남구 선릉로157길 23-4,"생활,편의 > 미용실",2020-04-19,강남구
141,s13355192,에이블청담,02-517-0202,서울특별시 강남구 선릉로158길 12,"생활,편의 > 미용실",2020-04-19,강남구
142,s1701102071,엔투라지바버샵 압구정로데오점,070-8772-2258,서울특별시 강남구 선릉로155길 11,"생활,편의 > 남성전문미용실",2020-04-19,강남구
143,s35708383,오랑헤어 압구정본점,02-3445-6000,서울특별시 강남구 압구정로54길 5 2층,"생활,편의 > 미용실",2020-04-19,강남구
144,s30976186,살롱프리즘,02-547-3331,서울특별시 강남구 도산대로55길 36,"생활,편의 > 미용실",2020-04-19,강남구
145,s1236017479,아트헤어,02-544-5682,서울특별시 강남구 선릉로161길 8 3층,"생활,편의 > 미용실",2020-04-19,강남구
146,s37298677,박철헤어살롱박철본점,02-542-8732,서울특별시 강남구 언주로172길 64,"생활,편의 > 미용실",2020-04-19,강남구
147,s34345058,블레스바버샵,02-517-3988,서울특별시 강남구 언주로172길 65 휴빌딩,"생활,편의 > 미용실",2020-04-19,강남구
148,s35188120,KJ 스타일,02-3445-6351,서울특별시 강남구 압구정로50길 18 3층 kjstyle,"생활,편의 > 미용실",2020-04-19,강남구
149,s1439651720,톤 헤어스튜디오,070-4300-5343,서울특별시 강남구 선릉로161길 15 2층,"생활,편의 > 미용실",2020-04-19,강남구
150,s32528267,프랑크프로보 가로수길점,02-547-4914,서울특별시 강남구 선릉로161길 18,미용 > 미용실,2020-04-19,강남구
151,s21638346,S TA HAIR,02-511-9874,서울특별시 강남구 압구정로 332 2층,"생활,편의 > 미용실",2020-04-19,강남구
152,s95575426,콜라보엑스,02-545-1707,서울특별시 강남구 선릉로161길 5,"생활,편의 > 미용실",2020-04-19,강남구
153,s1650123643,라이온헤어1,02-545-6481,서울특별시 강남구 도산대로55길 46,"생활,편의 > 미용실",2020-04-19,강남구
154,s13355182,노주원헤어그라프,02-545-6484,서울특별시 강남구 도산대로53길 39 신사동 C/K빌딩,"생활,편의 > 미용실",2020-04-19,강남구
155,s37903607,엘본헤어하우스,02-544-1469,서울특별시 강남구 압구정로50길 7 정동상가 2F,"생활,편의 > 미용실",2020-04-19,강남구
156,s12011603,헤어뉴스,02-512-2462,서울특별시 강남구 선릉로162길 5,"생활,편의 > 미용실",2020-04-19,강남구
157,s1718618926,해아 에비뉴,02-3446-9945,서울특별시 강남구 선릉로162길 39 강스빌딩 2층 해아 에비뉴,"생활,편의 > 미용실",2020-04-19,강남구
158,s36505210,아슬란헤어,02-548-6088,서울특별시 강남구 선릉로161길 7,"생활,편의 > 미용실",2020-04-19,강남구
159,s11858131,하안미용실,02-518-5978,서울특별시 강남구 언주로172길 55 4층,"생활,편의 > 미용실",2020-04-19,강남구
160,s13161388,최봉관프로헤어,02-514-0412,서울특별시 강남구 도산대로51길 42,"생활,편의 > 미용실",2020-04-19,강남구
161,s1495534262,수빈헤어&메이크업,010-7296-1102,서울특별시 강남구 도산대로55길 52 3층,"생활,편의 > 미용실",2020-04-19,강남구
162,s1355159765,이끌,02-525-5002,서울특별시 강남구 선릉로162길 43 3층,"생활,편의 > 미용실",2020-04-19,강남구
163,k1471613518,팀바이블룸,02-3448-5883,서울특별시 강남구 압구정로50길 23,"생활,편의 > 미용실",2020-04-19,강남구
164,s18486787,베르쥬반스,02-3446-8778,서울특별시 강남구 선릉로 823 한양타운빌딩,"생활,편의 > 미용실",2020-04-19,강남구
165,s1768453373,정현정 parapam,02-540-6351,서울특별시 강남구 선릉로162길 39,"생활,편의 > 미용실",2020-04-19,강남구
166,s1639885374,오색단장,,서울특별시 강남구 도산대로55길 52,"생활,편의 > 미용실",2020-04-19,강남구
167,s36262993,라뮤제,02-542-7764,서울특별시 강남구 도산대로57길 20 오페라하우스,"생활,편의 > 미용실",2020-04-19,강남구
168,s36154403,행쇼를합시다,010-4901-0419,서울특별시 강남구 신사동 665-14,"생활,편의 > 미용실",2020-04-19,강남구
169,s13161353,노승만헤어본,02-518-3001,서울특별시 강남구 선릉로 844,"생활,편의 > 미용실",2020-04-19,강남구
170,s34565659,아낭재,02-571-9790,서울특별시 강남구 남부순환로377길 4,"생활,편의 > 미용실",2020-04-19,강남구
171,s36160589,에스살롱나인,02-3444-3415,서울특별시 강남구 학동로63길 6 링구아빌딩 2층,"생활,편의 > 미용실",2020-04-19,강남구
172,s20866408,규리헤어,02-451-0380,서울특별시 강남구 광평로51길 49 지상 1층 106호,"생활,편의 > 미용실",2020-04-19,강남구
173,s1197245786,조경애 헤어픽스,070-8158-8298,서울특별시 강남구 테헤란로 322,"생활,편의 > 미용실",2020-04-19,강남구
174,s1456520081,세곡푸르지오미헤어드림,070-8118-9259,서울특별시 강남구 자곡로 21 푸르지오 상가 204호,"생활,편의 > 미용실",2020-04-19,강남구
175,s32349630,수미헤어,02-575-3273,서울특별시 강남구 남부순환로 2615 극동스타클래스 119호,"생활,편의 > 남성전문미용실",2020-04-19,강남구
176,s1445275975,착한가격헤어,02-538-0330,서울특별시 강남구 양재대로55길 29,"생활,편의 > 미용실",2020-04-19,강남구
177,s1884058523,데오로헤어,02-555-5543,서울특별시 강남구 강남대로78길 24,"생활,편의 > 미용실",2020-04-19,강남구
178,s33251822,아자리아청담점,02-543-8034,서울특별시 강남구 학동로88길 12,"생활,편의 > 미용실",2020-04-19,강남구
179,s20590447,비엠헤어다이스 1호점,02-2051-3531,서울특별시 강남구 역삼로 122 하나빌딩,"생활,편의 > 미용실",2020-04-19,강남구
180,s37082054,비엠헤어다이스 역삼2호점,02-553-3531,서울특별시 강남구 역삼로 151 삼오빌딩,미용 > 미용실,2020-04-19,강남구
181,s543553754,프리미엄헤어다이스,02-558-3531,서울특별시 강남구 논현로67길 30 1층 프리미엄헤어다이스,미용 > 미용실,2020-04-19,강남구
182,s30852812,리본헤어샵,02-3411-5134,서울특별시 강남구 선릉로6길 12,"생활,편의 > 미용실",2020-04-19,강남구
183,s18440914,이계숙미용실,02-516-0351,서울특별시 강남구 논현로164길 27,"생활,편의 > 미용실",2020-04-19,강남구
184,s38547364,지유,02-3443-1475,서울특별시 강남구 도산대로8길 20,"생활,편의 > 미용실",2020-04-19,강남구
185,s33252006,유진헤어,02-543-6646,서울특별시 강남구 도산대로길 15,"생활,편의 > 미용실",2020-04-19,강남구
186,s1843311328,앤네일,02-533-0117,서울특별시 서초구 강남대로 455 강남태영데시앙루브 지하1층 101호 앤네일,"생활,편의 > 미용",2020-04-19,서초구
187,s367360827,더썸뷰티,02-583-7870,서울특별시 강남구 강남대로96길 17 4층 402호,"생활,편의 > 미용",2020-04-19,강남구
188,s34550963,포레스트,02-538-5639,서울특별시 강남구 봉은사로6길 23,"생활,편의 > 미용실",2020-04-19,강남구
189,s34014035,상상모리뷰티살롱,02-511-3352,서울특별시 강남구 선릉로 660 브라운스톤 레전드,"생활,편의 > 미용실",2020-04-19,강남구
190,s36271091,위민헤어,02-2226-5370,서울특별시 강남구 광평로10길 6 한솔마을아파트,"생활,편의 > 미용실",2020-04-19,강남구
191,s33696507,준오헤어 삼성역점,02-565-0605,서울특별시 강남구 테헤란로 528,"생활,편의 > 미용실",2020-04-19,강남구
192,s38420161,준오헤어 코엑스몰점,02-3453-0605,서울특별시 강남구 테헤란로87길 22,"생활,편의 > 미용실",2020-04-19,강남구
193,s62205523,베스카미용실,010-7705-2737,서울특별시 강남구 논현로 213 역삼럭키아파트 럭키상가동 B104호 베스카 미용실,"생활,편의 > 미용실",2020-04-19,강남구
194,s13149886,한스헤어 선릉점,02-567-1783,서울특별시 강남구 선릉로 545,"생활,편의 > 미용실",2020-04-19,강남구
195,s38473521,한스헤어 선릉2호점,02-538-1701,서울특별시 강남구 선릉로 523 1층 한스헤어,"생활,편의 > 미용실",2020-04-19,강남구
196,s33595528,쌤시크,02-518-0377,서울특별시 강남구 언주로152길 9,"생활,편의 > 미용실",2020-04-19,강남구
197,s1173587711,엘린헤어,02-548-1760,서울특별시 강남구 논현로115길 17,"생활,편의 > 미용실",2020-04-19,강남구
198,s36935683,쓰리스토리 도산점,02-543-3367,서울특별시 강남구 선릉로153길 33,"생활,편의 > 미용실",2020-04-19,강남구
199,s520873471,피렌체헤어샵,,서울특별시 강남구 개포로22길 21,"생활,편의 > 미용실",2020-04-19,강남구
200,s870235813,새로운헤어스타일,,서울특별시 강남구 광평로19길 15,"생활,편의 > 미용실",2020-04-19,강남구
